run_id,algorithm_name,input_size,time_ns,memory_kb,date_run
RUN001,LinearSearch,100,22847,192,2026-07-15
RUN002,LinearSearch,500,35436,118,2026-07-15
RUN003,LinearSearch,1000,254076,102,2026-07-15
RUN004,LinearSearch,5000,1123906,329,2026-07-15
RUN005,BinarySearch,100,17112,98,2026-07-15
RUN006,BinarySearch,500,191171,270,2026-07-15
RUN007,BinarySearch,1000,187733,233,2026-07-15
RUN008,BinarySearch,5000,1943782,219,2026-07-15
RUN009,SelectionSort,100,31003,397,2026-07-15
RUN010,SelectionSort,500,100483,113,2026-07-15
RUN011,SelectionSort,1000,384861,169,2026-07-15
RUN012,SelectionSort,5000,514972,195,2026-07-15
RUN013,InsertionSort,100,7797,385,2026-07-15
RUN014,InsertionSort,500,129544,412,2026-07-15
RUN015,InsertionSort,1000,340628,294,2026-07-15
RUN016,InsertionSort,5000,1293252,158,2026-07-15
RUN017,MergeSort,100,38838,186,2026-07-15
RUN018,MergeSort,500,14624,450,2026-07-15
RUN019,MergeSort,1000,32737,372,2026-07-15
RUN020,MergeSort,5000,1300789,138,2026-07-15
RUN021,QuickSort,100,36826,276,2026-07-15
RUN022,QuickSort,500,129026,287,2026-07-15
RUN023,QuickSort,1000,261088,464,2026-07-15
RUN024,QuickSort,5000,308744,265,2026-07-15
RUN025,HashTablePut,100,32922,207,2026-07-15
RUN026,HashTablePut,500,78333,411,2026-07-15
RUN027,HashTablePut,1000,311413,293,2026-07-15
RUN028,HashTablePut,5000,1559348,292,2026-07-15
RUN029,HeapInsert,100,4952,146,2026-07-15
RUN030,HeapInsert,500,61432,429,2026-07-15
RUN031,HeapInsert,1000,79513,272,2026-07-15
RUN032,HeapInsert,5000,1612333,92,2026-07-15
RUN033,Dijkstra,100,27294,494,2026-07-15
RUN034,Dijkstra,500,173933,452,2026-07-15
RUN035,Dijkstra,1000,59564,219,2026-07-15
RUN036,Dijkstra,5000,1413167,360,2026-07-15
RUN037,Kruskal,100,27190,69,2026-07-15
RUN038,Kruskal,500,67825,176,2026-07-15
RUN039,Kruskal,1000,167984,343,2026-07-15
RUN040,Kruskal,5000,279745,308,2026-07-15
RUN041,Prim,100,11115,277,2026-07-15
RUN042,Prim,500,97899,81,2026-07-15
RUN043,Prim,1000,153855,353,2026-07-15
RUN044,Prim,5000,812667,348,2026-07-15
RUN045,Knapsack,100,10685,476,2026-07-15
RUN046,Knapsack,500,149871,134,2026-07-15
RUN047,Knapsack,1000,25994,83,2026-07-15
RUN048,Knapsack,5000,342305,77,2026-07-15
