road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,1.2,16,1.51
R002,L002,L003,0.39,7,1.28
R003,L003,L004,0.57,9,1.5
R004,L004,L005,0.79,11,1.02
R005,L005,L006,0.98,11,1.41
R006,L006,L007,1.3,18,1.35
R007,L007,L008,1.42,18,1.11
R008,L008,L009,1.3,16,1.38
R009,L009,L010,0.16,4,1.51
R010,L010,L011,0.89,12,1.22
R011,L011,L012,0.69,10,1.42
R012,L012,L013,0.9,12,1.4
R013,L013,L014,1.01,12,1.01
R014,L014,L015,1.07,14,1.3
R015,L015,L016,0.17,2,1.3
R016,L016,L017,1.1,15,1.31
R017,L017,L018,0.66,10,1.22
R018,L018,L019,1.45,18,1.16
R019,L019,L020,1.22,15,1.33
R020,L020,L021,0.07,3,1.37
R021,L021,L022,0.26,5,1.29
R022,L022,L023,0.53,8,1.01
R023,L023,L024,0.35,5,1.26
R024,L024,L025,0.85,10,1.07
R025,L025,L026,0.57,8,1.46
R026,L026,L027,1.12,15,1.3
R027,L027,L028,0.68,9,1.06
R028,L028,L029,0.3,4,1.38
R029,L029,L030,0.12,1,1.34
R030,L030,L031,0.19,4,1.41
R031,L031,L032,0.08,2,1.29
R032,L032,L033,0.71,10,1.42
R033,L033,L034,0.83,11,1.5
R034,L034,L035,0.91,12,1.38
R035,L035,L036,1.28,18,1.05
R036,L036,L037,0.47,6,1.14
R037,L037,L038,0.39,5,1.51
R038,L038,L039,0.14,2,1.21
R039,L039,L040,1.45,18,1.41
R040,L040,L041,0.44,6,1.44
R041,L041,L042,1.28,15,1.12
R042,L042,L043,0.32,4,1.54
R043,L043,L044,0.49,7,1.22
R044,L044,L045,0.82,12,1.26
R045,L045,L046,1.38,16,1.36
R046,L046,L047,0.22,5,1.59
R047,L047,L048,0.82,10,1.16
R048,L048,L049,1.0,12,1.47
R049,L049,L050,1.3,18,1.23
R050,L050,L051,0.53,8,1.16
R051,L051,L052,0.09,3,1.28
R052,L052,L053,0.68,9,1.53
R053,L053,L054,1.48,19,1.05
R054,L054,L055,0.65,10,1.27
R055,L055,L056,0.41,6,1.16
R056,L056,L001,0.58,9,1.21
R057,L037,L027,0.69,8,1.24
R058,L021,L052,1.23,16,1.59
R059,L019,L051,0.98,14,1.35
R060,L026,L032,1.18,15,1.34
R061,L033,L016,0.56,6,1.41
R062,L006,L021,0.19,3,1.56
R063,L008,L046,0.86,11,1.11
R064,L007,L032,1.09,13,1.05
R065,L015,L042,0.36,6,1.31
R066,L034,L024,0.54,8,1.23
R067,L009,L048,1.21,17,1.08
R068,L009,L005,0.72,11,1.54
R069,L018,L016,1.36,19,1.21
R070,L011,L020,0.27,4,1.2
R071,L020,L037,0.96,12,1.16
R072,L035,L053,0.16,3,1.12
R073,L048,L020,0.86,10,1.15
R074,L025,L010,1.04,14,1.51
R075,L027,L012,0.36,4,1.4
R076,L014,L048,0.71,8,1.54
R077,L056,L007,1.46,18,1.24
R078,L005,L033,0.64,8,1.37
R079,L027,L043,1.44,17,1.22
R080,L007,L004,0.56,8,1.2
R081,L004,L011,0.35,6,1.02
R082,L052,L037,0.43,6,1.12
R083,L014,L038,0.47,6,1.31
R084,L004,L017,1.31,16,1.55
R085,L044,L004,1.45,18,1.19
R086,L023,L040,1.29,17,1.13
R087,L019,L055,0.74,11,1.06
R088,L047,L003,0.95,12,1.26
R089,L010,L017,1.5,18,1.49
R090,L050,L037,0.42,6,1.56
R091,L011,L031,1.22,17,1.03
R092,L029,L045,1.01,14,1.59
R093,L037,L009,0.8,10,1.04
R094,L023,L044,0.92,13,1.23
R095,L053,L010,1.04,13,1.32
R096,L016,L038,1.25,15,1.14
R097,L040,L046,0.1,2,1.04
R098,L010,L052,1.26,16,1.01
R099,L015,L033,0.88,10,1.38
R100,L011,L003,0.72,10,1.6
R101,L051,L008,0.34,6,1.2
R102,L031,L048,1.45,20,1.56
R103,L011,L018,0.62,9,1.53
R104,L015,L006,0.55,9,1.49
R105,L049,L034,0.42,5,1.59
R106,L018,L029,1.18,14,1.4
R107,L017,L045,1.46,18,1.03
R108,L026,L056,0.55,6,1.02
R109,L020,L015,0.76,10,1.06
R110,L027,L003,0.68,9,1.17
R111,L015,L007,0.67,9,1.4
R112,L032,L042,0.82,11,1.37
R113,L023,L031,0.34,5,1.51
R114,L020,L034,0.75,11,1.03
R115,L017,L009,1.35,17,1.16
R116,L054,L004,1.14,15,1.49
R117,L010,L001,0.57,7,1.49
R118,L003,L045,0.78,12,1.09
R119,L029,L049,0.69,10,1.25
R120,L021,L029,1.23,14,1.28
R121,L017,L020,0.08,1,1.22
R122,L006,L034,0.72,9,1.07
R123,L006,L040,0.73,9,1.44
R124,L033,L047,0.34,6,1.46
R125,L003,L054,0.19,2,1.43
R126,L044,L035,1.41,17,1.56
R127,L050,L038,0.93,11,1.47
R128,L056,L042,1.04,14,1.37
R129,L009,L054,1.41,18,1.23
R130,L008,L045,0.67,10,1.03
R131,L042,L013,1.24,16,1.35
R132,L046,L044,0.86,12,1.35
R133,L012,L038,1.13,14,1.32
R134,L030,L023,0.28,4,1.36
R135,L017,L026,0.49,8,1.31
R136,L052,L023,0.73,10,1.09
R137,L002,L016,0.85,13,1.08
R138,L013,L017,1.04,12,1.35
R139,L026,L018,0.5,7,1.39
R140,L055,L017,0.59,7,1.18
