n,table_size,load_factor,collisions,longest_chain,put_ns,get_ns
100,128,0.781,0,1,655433,58200
1000,128,7.813,872,8,596266,525933
5000,128,39.063,4872,40,4518833,3261200
10000,128,78.125,9872,79,14829266,15520600
20000,128,156.250,19872,157,214915766,215715433
100,1024,0.098,0,1,3400,1366
1000,1024,0.977,0,1,55400,8100
5000,1024,4.883,3976,5,275500,86133
10000,1024,9.766,8976,10,636866,296200
20000,1024,19.531,18976,20,1940733,1715433
100,8192,0.012,0,1,2933,1100
1000,8192,0.122,0,1,49200,4866
5000,8192,0.610,0,1,258666,25933
10000,8192,1.221,1808,2,531500,64033
20000,8192,2.441,11808,3,874966,188500
